,p,alpha,Qvar,ILvar
421,0.1,2.47,3.594657236954754e-17,3.3747292046610424e-12
422,0.1,2.47,1.4871509675954251e-18,3.3791963871743557e-12
423,0.1,2.47,4.41898831381333e-18,6.264039109586819e-13
424,0.1,2.47,3.0050642662703675e-17,5.5426635056917644e-11
425,0.1,2.47,3.973940675336786e-17,6.770679185561785e-13
426,0.1,2.47,2.635867633303644e-17,5.1473772569506715e-11
427,0.1,2.47,9.985168536015394e-17,3.759413338080528e-12
428,0.1,2.47,1.8029771584412286e-17,1.0417409737213864e-11
429,0.1,2.47,1.7685086298659264e-18,2.468034918668552e-13
430,0.1,2.47,2.6407471491225436e-19,4.105270683622823e-14
431,0.1,2.47,1.968692904973575e-17,5.743046792812739e-12
432,0.1,2.47,3.502200260235455e-18,1.0111279618219999e-12
433,0.1,2.47,2.640906343325709e-19,2.8275593843801428e-14
434,0.1,2.47,7.367810286274862e-19,7.368409698743368e-14
435,0.1,2.47,1.2583786481222535e-16,3.3117375848762784e-12
436,0.1,2.47,1.0915920381427953e-16,3.545663615573338e-12
437,0.1,2.47,1.059711415382665e-16,8.362209424465766e-13
438,0.1,2.47,7.764302194626155e-20,8.674832590639e-15
439,0.1,2.47,2.387381723444963e-19,2.1746848179203867e-14
440,0.1,2.47,1.6342053563634702e-19,2.1163452797171922e-14
441,0.1,2.47,1.5101138238331941e-19,2.4092488561850723e-14
442,0.1,2.47,3.086738227301876e-17,1.9367377220902174e-11
443,0.1,2.47,3.1416604855465085e-19,4.767270395006966e-14
444,0.1,2.47,3.640603053820724e-19,3.7946705927414477e-14
445,0.1,2.47,4.730980748803803e-19,7.187053472399513e-14
446,0.1,2.47,1.6553064121700925e-17,2.8012649908810185e-12
447,0.1,2.47,1.3055998686133439e-18,1.8828643055644847e-13
448,0.1,2.47,4.306760463845836e-18,5.140946510579104e-13
449,0.1,2.47,7.668688153314707e-19,2.0326880651513284e-13
450,0.1,2.57,4.112298530206259e-19,5.481830515827365e-14
451,0.1,2.57,1.3735309823908492e-18,1.01935812317558e-13
452,0.1,2.57,2.397140839273335e-18,4.615221661209737e-13
453,0.1,2.57,1.698098793492282e-19,2.556292112331616e-13
454,0.1,2.57,2.338428225591383e-17,2.0473974028084392e-11
455,0.1,2.57,1.1754562941331133e-17,4.946570879891341e-13
456,0.1,2.57,5.029153843154116e-19,6.419187809487832e-13
457,0.1,2.57,6.006436475490981e-19,1.5511394754943702e-12
458,0.1,2.57,7.800316973826032e-20,7.634967891053041e-15
459,0.1,2.57,1.220128400840776e-17,3.1054989898172185e-13
460,0.1,2.57,5.250645868732881e-20,3.7472170275795647e-14
461,0.1,2.57,1.7452907776724886e-19,2.5669615686893814e-14
462,0.1,2.57,7.722908502736762e-19,1.0662575228562763e-13
463,0.1,2.57,1.1574215045508556e-18,7.136553596965941e-14
464,0.1,2.57,3.5852278314268974e-18,2.0177456965824428e-13
465,0.1,2.57,4.555843630329246e-19,2.978720769746963e-13
466,0.1,2.57,1.3911464156869178e-18,2.0434017866461852e-13
467,0.1,2.57,5.4187795093532874e-20,1.794807291614778e-13
468,0.1,2.57,8.801770672072271e-18,1.1833726159099491e-11
469,0.1,2.57,1.1892028339068477e-16,1.119036551050475e-12
470,0.1,2.57,4.695453130649903e-17,2.0661002626331216e-12
471,0.1,2.57,2.2062669812875383e-19,4.517155156195044e-14
472,0.1,2.57,8.603623372864285e-17,4.016139678793251e-11
473,0.1,2.57,1.2661077155151059e-16,3.4410392836437386e-10
474,0.1,2.57,1.1235490324948778e-19,1.1514956563730673e-14
475,0.1,2.57,7.168288275379304e-18,4.947010434574252e-13
476,0.1,2.57,1.865681046113271e-19,2.469561329973234e-14
477,0.1,2.57,7.381477804735508e-17,2.942601226857998e-13
478,0.1,2.57,9.132670196496143e-20,1.1916681936321484e-14
479,0.1,2.57,7.053558761221898e-17,3.892099070139407e-13
480,0.1,2.68,1.008659329659354e-18,1.3565008146468233e-13
481,0.1,2.68,4.481684478836894e-19,9.624326949227481e-14
